gene_symbol	BRCA	TN-BRCA	nonTN-BRCA	EndoR-BRCA
DBN1	Yes	No	No	No
DBNDD2	Yes	No	No	No
DBP	Yes	No	No	No
DBX1	Yes	No	No	No
DBX2	Yes	No	No	No
DCAF12	No	Yes	No	No
DCAF16	Yes	No	No	No
DCAF8	No	Yes	No	No
DCC	No	No	Yes	No
DCHS1	No	Yes	No	No
DCP2	Yes	No	No	No
DCPS	Yes	No	No	No
DCST2	Yes	No	No	No
DCTD	Yes	No	No	No
DCTN2	Yes	No	No	No
DDIT4	No	No	Yes	No
DDN	Yes	No	No	No
DDR1	Yes	No	No	No
DDX20	No	No	Yes	No
DDX51	Yes	No	No	No
DEAF1	No	No	Yes	Yes
DEFA5	Yes	No	No	No
DEFB112	Yes	No	No	No
DEFB115	Yes	No	No	No
DEFB116	Yes	No	No	No
DEFB118	Yes	No	No	No
DEFB119	Yes	No	No	No
DEFB121	Yes	No	No	No
DEGS2	Yes	No	No	No
DENND2D	No	No	Yes	No
DENND3	Yes	No	No	No
DENR	No	Yes	No	No
DET1	No	No	Yes	No
DFNB31	Yes	No	No	No
DFNB59	No	Yes	No	No
DGAT1	Yes	No	No	No
DGCR2	Yes	No	No	No
DGKE	Yes	No	No	No
DGKG	Yes	No	No	No
DGKZ	Yes	No	No	No
DGUOK	Yes	Yes	Yes	No
DHCR7	No	Yes	No	No
DHRS13	Yes	No	No	No
DHRS3	Yes	Yes	Yes	No
DHRS4	Yes	No	No	No
DHRS4L2	Yes	No	No	No
DHX34	No	Yes	No	No
DHX36	No	No	Yes	No
DHX37	No	Yes	No	No
DHX9	No	Yes	No	No
DIEXF	Yes	Yes	No	No
DIO3	Yes	No	No	No
DIP2A	No	No	Yes	No
DIXDC1	Yes	No	No	No
DKK2	No	No	Yes	No
DKK3	No	No	Yes	No
DLAT	Yes	No	No	No
DLC1	Yes	No	No	No
DLEU1	Yes	Yes	Yes	No
DLG5	Yes	Yes	Yes	No
DLGAP1	Yes	No	Yes	No
DLGAP3	No	Yes	No	No
DLGAP4	Yes	No	No	No
DLL4	Yes	No	No	No
DLX1	No	Yes	No	No
DLX2	Yes	Yes	Yes	No
DLX3	Yes	No	No	No
DLX5	Yes	No	No	No
DLX6	Yes	No	No	No
DMBT1	Yes	No	No	No
DMBX1	Yes	No	No	No
DMPK	Yes	No	No	No
DMRT2	Yes	No	No	No
DMRT3	Yes	No	No	No
DMRTA2	Yes	No	No	No
DMTF1	Yes	No	No	No
DNAI1	No	Yes	No	No
DNAJA2	Yes	Yes	Yes	No
DNAJB1	No	No	Yes	No
DNAJB12	No	No	Yes	No
DNAJB6	Yes	Yes	No	No
DNAJB8	Yes	No	No	Yes
DNAJC1	Yes	No	No	No
DNAJC19	Yes	Yes	Yes	No
DNAJC22	Yes	No	No	No
DNAJC27	Yes	Yes	Yes	No
DNAJC6	No	No	Yes	No
DNAL4	Yes	Yes	Yes	No
DNER	No	No	Yes	No
DNM3	No	No	Yes	No
DOC2B	No	Yes	No	No
DOCK1	Yes	No	No	No
DOCK5	Yes	No	No	No
DOK4	Yes	No	No	No
DOK5	Yes	No	Yes	No
DOK6	Yes	No	No	No
DOPEY1	No	Yes	No	No
DPP6	Yes	No	No	No
DPP7	No	Yes	No	No
DPYS	No	No	Yes	No
DPYSL4	No	Yes	No	No
DQX1	Yes	No	No	No
DRAP1	Yes	No	No	No
DRAXIN	No	No	Yes	No
DRD1	Yes	Yes	Yes	No
DRGX	No	No	No	Yes
DSC3	Yes	Yes	Yes	Yes
DSCAM	No	No	No	Yes
DTNA	No	Yes	No	No
DTNBP1	No	Yes	No	No
DUOX2	Yes	No	No	No
DUOXA2	Yes	No	No	No
DUSP1	Yes	Yes	Yes	No
DUSP12	Yes	No	No	No
DUSP16	No	Yes	No	No
DUSP2	No	No	Yes	Yes
DUSP4	Yes	No	No	No
DUSP6	Yes	No	No	No
DUSP7	No	No	Yes	No
DUSP8	No	Yes	No	No
DVL1	Yes	No	No	Yes
DYNC1H1	No	Yes	No	No
DYNLL1	Yes	No	No	No
DYNLRB2	Yes	Yes	Yes	No
DYNLT1	Yes	No	No	No
DZIP1	Yes	Yes	Yes	No
E2F8	Yes	Yes	Yes	Yes
E4F1	No	No	Yes	No
EBF1	Yes	Yes	No	No
EBF2	Yes	No	No	No
EBF3	Yes	Yes	Yes	No
EBF4	Yes	Yes	Yes	No
ECE1	Yes	No	No	No
ECT2L	No	No	Yes	No
EDN1	Yes	Yes	Yes	No
EDN2	Yes	No	No	No
EDN3	Yes	No	No	No
EDNRA	Yes	No	No	No
EDNRB	Yes	No	Yes	No
EEF1A1	Yes	No	No	No
EEF1D	Yes	Yes	Yes	No
EEF2	No	Yes	No	No
EEF2K	No	No	Yes	No
EFCC1	No	No	Yes	No
EFHD2	Yes	Yes	No	Yes
EGFLAM	Yes	Yes	Yes	No
EGFR	Yes	Yes	Yes	No
EGR1	No	No	Yes	No
EGR3	Yes	No	No	No
EGR4	No	No	Yes	No
EHD1	No	Yes	No	No
EHHADH	No	No	Yes	No
EID1	No	No	Yes	No
EID2	Yes	No	No	No
EIF2D	Yes	No	No	No
EIF4E1B	Yes	No	No	No
ELAC1	No	Yes	No	No
ELAC2	Yes	No	No	No
ELAVL2	Yes	No	No	No
ELAVL4	Yes	No	No	No
ELFN1	Yes	Yes	Yes	No
ELL	No	Yes	No	No
ELP4	Yes	No	No	No
EMC8	Yes	No	No	No
EME2	Yes	No	No	No
EMILIN2	Yes	Yes	Yes	No
EMILIN3	Yes	No	No	No
EML1	Yes	Yes	Yes	No
EML3	Yes	No	No	No
EMX1	Yes	No	Yes	No
EMX2	Yes	Yes	Yes	No
EN1	Yes	Yes	No	No
EN2	Yes	Yes	Yes	No
ENAH	No	Yes	No	No
ENDOD1	Yes	No	No	No
ENDOV	Yes	Yes	Yes	No
ENGASE	Yes	No	No	Yes
ENOX1	No	Yes	No	No
ENPP1	No	Yes	No	No
ENSG00000129951	Yes	No	No	No
ENSG00000143674	No	Yes	No	No
ENSG00000148123	Yes	No	No	No
ENSG00000171282	Yes	Yes	Yes	No
ENSG00000182319	No	Yes	No	No
ENSG00000205147	Yes	No	No	No
ENSG00000228144	No	No	Yes	Yes
ENSG00000237452	Yes	No	No	No
ENSG00000255330	No	No	Yes	No
ENSG00000259784	No	No	Yes	No
ENSG00000261130	Yes	Yes	Yes	No
ENSG00000262302	Yes	No	No	No
ENSG00000264545	Yes	Yes	Yes	No
ENSG00000267699	No	Yes	No	No
ENSG00000268173	Yes	No	No	No
ENSG00000268643	Yes	Yes	Yes	No
ENSG00000269375	Yes	No	No	No
ENSG00000269741	Yes	No	No	No
ENSG00000272442	Yes	No	No	No
ENTPD2	No	No	Yes	No
ENY2	No	Yes	No	No
EOMES	Yes	No	Yes	No
EP400	Yes	No	No	No
EPAS1	No	No	Yes	No
EPB41L3	Yes	Yes	Yes	No
EPHA10	Yes	Yes	Yes	No
EPHA4	Yes	No	Yes	Yes
EPHB1	Yes	Yes	Yes	No
EPHB2	Yes	Yes	Yes	No
EPHB3	Yes	Yes	Yes	No
EPHB4	Yes	No	No	No
EPHB6	Yes	No	No	No
EPO	Yes	No	No	No
EPS15L1	Yes	No	No	No
EPS8L2	Yes	Yes	Yes	No
ERAL1	Yes	No	No	No
ERBB2	Yes	No	No	No
ERC1	No	No	Yes	Yes
ERCC4	Yes	No	No	No
ERF	Yes	Yes	Yes	No
ERG	Yes	No	No	No
ERLEC1	No	Yes	No	No
ERLIN1	No	Yes	No	No
ERN1	Yes	Yes	Yes	No
ERO1LB	No	Yes	No	No
ERRFI1	Yes	Yes	Yes	No
ESAM	Yes	No	No	No
ESD	Yes	Yes	Yes	No
ESM1	No	No	Yes	No
ESPN	Yes	No	No	No
ESR1	Yes	No	No	No
ESRRA	No	Yes	No	No
ESYT2	Yes	No	No	No
ESYT3	No	No	Yes	No
ETAA1	Yes	No	No	No
ETF1	No	No	Yes	No
ETNK1	Yes	Yes	Yes	No
ETNK2	Yes	No	No	No
ETS1	Yes	No	No	No
ETS2	Yes	No	No	No
EVC	Yes	No	No	No
EVC2	Yes	No	No	No
EVI5L	Yes	Yes	Yes	No
EVL	Yes	No	Yes	No
EVX2	Yes	Yes	Yes	Yes
EXOC6	Yes	No	No	No
EXOC8	No	No	Yes	No
EXOG	Yes	No	No	No
EXOSC2	Yes	No	No	No
EXT1	No	No	Yes	No
EXT2	No	Yes	No	No
EYA1	Yes	Yes	Yes	No
EZH2	Yes	Yes	No	No
EZR	Yes	No	No	No
F2R	No	Yes	No	No
F3	Yes	No	No	No
FAAH	Yes	No	No	No
FADS1	No	Yes	No	No
FADS2	Yes	Yes	Yes	No
FADS3	Yes	Yes	Yes	No
FAH	Yes	No	No	No
FAHD2A	No	No	Yes	Yes
FAM105B	Yes	No	No	No
FAM109A	Yes	No	No	No
FAM110A	Yes	No	No	No
FAM120B	Yes	No	No	No
FAM129B	Yes	No	No	No
FAM150A	Yes	No	Yes	No
FAM150B	No	Yes	No	No
FAM163A	No	No	No	Yes
FAM171A1	No	No	Yes	No
FAM173B	No	Yes	No	No
FAM174B	Yes	No	No	No
FAM189A2	Yes	No	No	No
FAM197Y1	Yes	No	No	No
FAM19A2	Yes	Yes	Yes	No
FAM19A3	Yes	Yes	Yes	No
FAM19A5	Yes	Yes	Yes	No
FAM20C	Yes	No	Yes	No
FAM210A	Yes	No	No	No
FAM210B	Yes	No	No	No
FAM212A	No	No	Yes	No
FAM3B	No	No	Yes	No
FAM53A	No	No	Yes	No
FAM64A	Yes	Yes	Yes	No
FAM65A	Yes	No	No	No
FAM65B	Yes	No	No	No
FAM69A	Yes	No	No	No
FAM76B	No	No	Yes	No
FAM83D	Yes	Yes	Yes	No
FAM84B	Yes	No	No	No
FAM86A	Yes	No	No	No
FAM8A1	Yes	Yes	Yes	No
FAM90A26	Yes	No	No	No
FAM96A	Yes	No	No	No
FANCC	No	No	Yes	No
FANCE	Yes	No	Yes	No
FANCF	Yes	No	No	No
FAR1	Yes	No	No	Yes
FAR2	Yes	No	No	No
FARS2	Yes	Yes	No	No
FARSA	No	Yes	No	No
FASN	Yes	No	No	Yes
FAT3	Yes	No	No	No
FAT4	Yes	No	No	No
FAXDC2	No	Yes	No	No
FBLIM1	Yes	Yes	Yes	No
FBLN2	Yes	No	No	No
FBLN7	No	Yes	No	No
FBN1	No	No	Yes	No
FBXL14	No	No	Yes	Yes
FBXL22	No	No	Yes	No
FBXL4	No	Yes	No	Yes
FBXO2	No	Yes	No	No
FBXO3	No	Yes	No	No
FBXO31	No	Yes	No	No
FBXW11	Yes	No	No	No
FBXW4	Yes	No	No	No
FBXW8	Yes	No	No	No
FCER1A	Yes	No	No	No
FCGR1B	No	Yes	No	No
FCN2	Yes	No	No	No
FCRL3	Yes	No	No	No
FCRL4	Yes	No	No	No
FCRLB	Yes	No	No	No
FECH	Yes	No	No	Yes
FEM1B	Yes	No	Yes	No
FERD3L	Yes	No	No	No
FEV	Yes	Yes	No	No
FEZ1	Yes	No	No	No
FEZ2	Yes	Yes	Yes	No
FEZF1	Yes	Yes	Yes	No
FEZF2	Yes	No	No	No
FGF14	Yes	No	No	No
FGF19	Yes	Yes	Yes	No
FGF22	Yes	No	No	No
FGF3	Yes	No	No	No
FGF5	Yes	No	No	No
FGF8	Yes	No	Yes	No
FGF9	Yes	No	No	No
FGFBP2	Yes	Yes	Yes	No
FGFR2	Yes	No	Yes	No
FH	Yes	No	Yes	No
FHL2	Yes	No	No	No
FIBP	No	No	Yes	No
FICD	Yes	No	No	No
FIGNL1	Yes	No	No	No
FKBP1A	No	No	Yes	No
FKBP1B	No	Yes	No	No
FKBP4	No	No	Yes	No
FKBP5	Yes	No	No	No
FLI1	Yes	Yes	Yes	No
FLII	Yes	Yes	Yes	No
FLNB	Yes	Yes	Yes	No
FLRT2	No	No	Yes	No
FLT1	No	Yes	No	No
FMN2	Yes	No	Yes	Yes
FMNL1	Yes	No	No	No
FMNL2	No	No	Yes	No
FMO3	Yes	No	No	No
FMOD	No	Yes	No	No
FNBP1	Yes	Yes	Yes	No
FNBP1L	Yes	No	No	No
FNDC1	Yes	Yes	Yes	No
FOLR4	Yes	No	No	No
FOXA1	Yes	Yes	No	No
FOXA2	Yes	Yes	Yes	No
FOXA3	Yes	Yes	Yes	No
FOXB2	Yes	No	No	No
FOXC1	Yes	Yes	Yes	No
FOXC2	No	No	Yes	Yes
FOXD1	Yes	No	No	No
FOXD3	Yes	No	No	No
FOXD4L1	Yes	No	Yes	No
FOXD4L6	Yes	No	No	No
FOXE1	Yes	No	No	No
FOXF1	Yes	No	No	No
FOXF2	Yes	Yes	Yes	No
FOXG1	No	No	Yes	No
FOXH1	No	Yes	No	No
FOXI2	Yes	No	No	No
FOXL2	Yes	Yes	Yes	Yes
FOXN2	No	Yes	No	No
FOXN4	Yes	No	No	No
FOXO3	Yes	No	No	No
FOXO6	Yes	Yes	Yes	No
FOXP1	No	Yes	No	No
FOXP4	Yes	Yes	Yes	No
FOXQ1	Yes	No	Yes	No
FRAT1	Yes	Yes	Yes	No
FRAT2	Yes	Yes	Yes	No
FRG2B	Yes	No	No	No
FRMD3	Yes	Yes	Yes	No
FRMPD4	Yes	No	No	No
FSCN2	Yes	No	No	No
FTCD	No	No	Yes	No
FTO	Yes	No	No	No
FTSJ3	Yes	Yes	Yes	No
FUBP3	No	No	No	Yes
FXYD3	Yes	No	No	No
FXYD4	Yes	No	No	No
FXYD5	Yes	Yes	Yes	No
FZD1	Yes	No	No	No
FZD10	Yes	Yes	Yes	No
FZD7	No	No	Yes	Yes
FZD8	Yes	Yes	Yes	No
G3BP1	No	No	Yes	No
G3BP2	No	Yes	No	No
GAB2	No	Yes	No	No
GABBR1	Yes	No	No	No
GABBR2	No	No	Yes	No
GABRA3	Yes	No	No	No
GABRA5	Yes	No	No	No
GABRB3	Yes	No	Yes	No
GAD1	Yes	No	No	No
GAD2	Yes	No	No	No
GAL3ST2	No	No	No	Yes
GALM	No	Yes	No	No
GALNT12	Yes	No	No	No
GALNT13	No	No	Yes	No
GALNT14	No	Yes	No	No
GALNT16	Yes	No	No	No
GALNT3	Yes	No	No	No
GALNT7	Yes	No	No	No
GALR1	No	No	Yes	No
GAN	Yes	No	No	No
GANC	Yes	No	No	No
GAREM	Yes	No	No	No
GAS1	Yes	Yes	Yes	No
GAS6	Yes	No	No	No
GAS8	Yes	No	No	No
GAST	No	Yes	No	No
GATA2	Yes	No	No	Yes
GATA3	Yes	Yes	Yes	No
GATA4	Yes	No	No	No
GATA6	Yes	No	No	No
GBX1	Yes	No	No	No
GBX2	Yes	Yes	No	No
GCC1	No	No	Yes	No
GCC2	No	No	Yes	No
GCNT2	Yes	Yes	Yes	No
GDF1	Yes	No	No	No
GDF6	Yes	Yes	Yes	No
GDF7	Yes	No	No	No
GDNF	Yes	Yes	Yes	No
GDPD5	No	Yes	No	No
GFER	No	Yes	No	No
GFI1	Yes	Yes	Yes	No
GFPT2	Yes	No	No	No
GFRA2	Yes	No	No	No
GGA1	Yes	No	No	No
GGACT	Yes	No	No	No
GGT6	Yes	No	No	No
GGTLC1	Yes	No	No	No
GHSR	Yes	Yes	Yes	No
GIGYF1	No	Yes	No	No
GIGYF2	No	Yes	No	No
GIMAP8	Yes	No	No	No
GINS2	Yes	No	No	No
GIT1	No	No	Yes	No
GJA3	Yes	No	No	No
GJD3	Yes	No	No	No
GJD4	Yes	Yes	Yes	No
GLB1L3	Yes	No	No	No
GLI1	Yes	No	No	No
GLIS1	Yes	No	No	No
GLMN	Yes	Yes	Yes	No
GLRX3	Yes	Yes	Yes	No
GLS	No	Yes	No	No
GLT1D1	Yes	No	No	No
GLTSCR1	Yes	Yes	Yes	No
GLUD1	Yes	Yes	Yes	No
GMDS	Yes	Yes	Yes	No
GMNN	Yes	No	No	No
GMPPA	No	Yes	No	No
GMPR	No	Yes	No	No
GNA11	Yes	No	No	No
GNA13	No	No	Yes	No
GNA15	Yes	No	No	No
GNAI2	No	No	Yes	No
GNAS	No	Yes	Yes	No
GNAT1	Yes	No	Yes	No
GNB2	No	Yes	No	No
GNE	Yes	No	No	No
GNG4	Yes	No	No	No
GNLY	Yes	Yes	Yes	No
GOLGA1	No	Yes	No	No
GOLGA8B	Yes	No	No	No
GOLPH3	No	No	Yes	No
GORASP2	No	No	Yes	No
GOT1	Yes	No	No	No
GP5	No	Yes	No	No
GPC1	Yes	Yes	Yes	No
GPCPD1	Yes	Yes	No	No
GPR114	Yes	Yes	Yes	No
GPR123	Yes	No	No	No
GPR126	No	No	Yes	No
GPR132	Yes	Yes	Yes	No
GPR137	Yes	No	No	No
GPR137B	No	Yes	No	No
GPR139	Yes	Yes	Yes	No
GPR143	Yes	No	No	No
GPR149	No	No	Yes	No
GPR151	Yes	No	No	No
GPR157	Yes	No	No	No
GPR158	No	No	No	Yes
GPR160	No	No	Yes	No
GPR180	Yes	Yes	Yes	No
GPR20	Yes	Yes	Yes	No
GPR25	No	Yes	No	No
GPR27	Yes	No	No	No
GPR35	No	Yes	No	No
GPR37	Yes	Yes	Yes	No
GPR37L1	Yes	Yes	Yes	No
GPR39	Yes	No	No	Yes
GPR4	Yes	No	No	No
GPR50	Yes	No	No	No
GPR55	Yes	Yes	Yes	No
GPR56	Yes	Yes	Yes	No
GPRC5B	Yes	Yes	Yes	No
GPRC5C	Yes	No	No	No
GPRIN1	No	Yes	No	No
GPT	No	No	Yes	Yes
GPT2	Yes	Yes	Yes	No
GPX4	Yes	No	No	No
GRAMD1B	Yes	No	No	No
GRAMD4	No	No	Yes	No
GRAP2	Yes	No	No	No
GRASP	Yes	No	No	No
GRB2	No	Yes	No	No
GREM2	Yes	No	No	No
GRHL1	Yes	Yes	Yes	No
GRHL3	No	No	Yes	No
GRHPR	No	No	Yes	No
GRID1	Yes	No	No	No
GRIK2	Yes	No	No	Yes
GRIK3	Yes	Yes	Yes	No
GRIK4	Yes	No	No	No
GRIK5	Yes	No	No	No
GRIN1	Yes	Yes	Yes	No
GRIN2A	Yes	No	No	No
GRIN2B	No	No	Yes	No
GRIN2C	No	Yes	No	No
GRIN2D	No	Yes	No	No
GRIN3A	No	No	No	Yes
GRIN3B	No	Yes	No	No
GRIP1	Yes	Yes	No	No
GRK6	Yes	No	No	No
GRM1	Yes	No	No	No
GRM5	No	No	Yes	No
GRM7	Yes	No	No	No
GRM8	Yes	No	No	No
GRP	Yes	No	Yes	Yes
GRWD1	No	Yes	No	No
GSC	Yes	No	No	No
GSC2	Yes	No	No	No
GSG1	No	Yes	No	No
GSG1L	Yes	No	No	No
GSK3A	No	No	Yes	No
GSX1	Yes	No	No	No
GSX2	Yes	Yes	Yes	No
GTF2B	No	Yes	No	No
GTF2I	No	No	Yes	No
GTF2IRD1	No	No	Yes	No
GTF3C4	Yes	No	No	No
GUCA1A	Yes	No	No	No
GULP1	No	No	Yes	No
GXYLT2	No	No	Yes	No
GYLTL1B	Yes	No	Yes	Yes
GZMM	Yes	No	No	No
H1F0	Yes	Yes	Yes	No
H2AFY	Yes	Yes	Yes	No
H2AFY2	No	No	Yes	No
H3F3A	No	Yes	No	No
HABP2	Yes	No	No	No
HACE1	Yes	No	No	No
HAGHL	No	Yes	No	No
HAMP	No	No	Yes	No
HAND1	No	No	Yes	No
HAND2	Yes	Yes	Yes	No
HAP1	No	Yes	No	No
HAPLN1	Yes	No	No	No
HAPLN2	No	Yes	No	No
HAS2	No	No	Yes	No
HAS3	No	No	Yes	No
HAUS8	No	No	Yes	No
HBM	Yes	No	No	No
HCN1	No	No	No	Yes
HCN4	Yes	No	No	No
HCST	No	Yes	No	No
HDAC10	No	No	Yes	No
HEBP2	No	No	Yes	No
HECW1	Yes	No	Yes	No
HECW2	No	Yes	No	No
HEG1	No	No	Yes	No
HELT	Yes	No	No	No
HEMK1	Yes	No	No	No
HERC5	No	Yes	No	No
HERPUD2	Yes	No	No	No
HES1	Yes	Yes	Yes	No
HES2	Yes	Yes	No	No
HES3	Yes	No	No	No
HES4	Yes	Yes	Yes	No
HES5	Yes	Yes	Yes	Yes
HES6	Yes	No	No	No
HEXIM1	Yes	No	No	No
HEY1	No	Yes	No	No
HFE2	Yes	Yes	No	No
HGSNAT	No	No	Yes	No
HHAT	No	Yes	No	No
HHATL	Yes	No	No	No
HHEX	Yes	No	No	No
HIC1	Yes	No	No	No
HIF1AN	Yes	No	No	No
HIGD1A	Yes	No	No	No
HINT2	Yes	No	No	No
HIST1H1A	No	No	Yes	No
HIST1H1B	No	Yes	No	Yes
HIST1H2AL	Yes	Yes	Yes	No
HIST1H2BB	Yes	No	No	No
HIST1H2BJ	Yes	No	No	No
HIST1H2BO	Yes	No	No	No
HIST1H3A	No	No	Yes	No
HIST1H3C	Yes	No	No	No
HIST1H3I	No	Yes	No	Yes
HIST1H3J	Yes	No	No	No
HIST1H4A	No	No	Yes	No
HIST3H2BB	Yes	No	No	No
HLA-A	Yes	Yes	Yes	No
HLA-B	Yes	No	No	No
HLA-C	Yes	No	No	No
HLA-E	Yes	No	No	No
HLA-F	Yes	No	No	No
HLA-G	Yes	No	No	No
HLCS	Yes	No	No	No
HLF	Yes	No	No	No
HMBOX1	Yes	No	No	No
HMG20A	Yes	No	No	No
HMGA1	Yes	No	No	No
HMGA2	No	No	Yes	Yes
HMGB2	Yes	No	No	No
HMGB4	Yes	No	No	No
HMGCS2	No	Yes	No	No
HMGN2	Yes	No	No	No
HMGN4	No	Yes	No	No
HMOX2	No	Yes	No	No
HMX1	Yes	No	No	Yes
HMX2	No	No	Yes	No
HMX3	No	No	Yes	No
HNF4G	Yes	No	No	No
HNRNPA2B1	Yes	Yes	Yes	No
HNRNPF	Yes	No	No	No
HNRNPK	No	No	Yes	No
HNRNPU	No	Yes	No	No
HNRNPUL1	No	Yes	No	No
HOMER1	No	No	Yes	No
HOOK1	No	Yes	No	No
HOOK2	Yes	No	No	No
HOPX	No	No	Yes	Yes
HOXA1	Yes	No	No	No
HOXA10	No	No	Yes	No
HOXA13	No	No	Yes	No
HOXA2	Yes	No	No	No
HOXA3	Yes	No	No	No
HOXA4	Yes	No	No	No
HOXA5	Yes	No	No	No
HOXA7	Yes	No	No	No
HOXA9	Yes	Yes	Yes	No
HOXB13	No	No	Yes	No
HOXB2	Yes	No	No	No
HOXB4	Yes	No	No	No
HOXB5	Yes	No	No	No
HOXB8	Yes	No	No	No
HOXB9	Yes	No	No	No
HOXC10	Yes	No	No	No
HOXC11	Yes	No	No	No
HOXC12	No	No	Yes	No
HOXC4	Yes	No	No	No
HOXC6	Yes	Yes	Yes	No
HOXC8	Yes	Yes	Yes	No
HOXD1	Yes	Yes	Yes	No
HOXD10	Yes	Yes	Yes	Yes
HOXD11	Yes	Yes	Yes	Yes
HOXD12	Yes	Yes	Yes	Yes
HOXD13	Yes	Yes	Yes	Yes
HOXD3	Yes	No	No	No
HOXD8	Yes	No	No	Yes
HOXD9	Yes	No	No	No
HP1BP3	Yes	Yes	Yes	No
HPCAL4	No	Yes	No	No
HPSE2	Yes	No	No	No
HR	Yes	No	No	No
HRAS	Yes	No	No	No
HRH1	Yes	No	No	No
HRH4	No	No	Yes	No
HRK	No	Yes	No	No
HS1BP3	Yes	No	No	No
HS3ST2	Yes	No	Yes	No
HS3ST3B1	Yes	Yes	Yes	Yes
HS3ST4	Yes	Yes	Yes	Yes
HS6ST1	Yes	No	No	No
HSD17B12	No	Yes	No	No
HSF1	Yes	No	No	No
HSF4	No	No	Yes	No
HSP90AA1	No	Yes	No	No
